1:2 ,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,6.63
1:2 ,4   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,7.19
2:3 ,8   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,8.08
2:3 ,8   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,8.08
2:3 ,10.7,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,8.87
2:3 ,10.7,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,8.87
3:4 ,6   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,8.53
3:4 ,6   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,8.53
4:5 ,4.8 ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,6.52
4:5 ,4.8 ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,6.52
4:5 ,7   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,8.08
4:5 ,7   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,8.08
5:6 ,4   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,6.63
5:6 ,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,6.63
5:6 ,5   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,7.49
5:6 ,5   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,7.49
5:6 ,6   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,8.36
5:6 ,6   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,8.36
5:6 ,6   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,8.36
7:8 ,3   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,5.93
7:8 ,3   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,5.93
7:8 ,5   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,7.85
7:8 ,5   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,7.85
7:8 ,5   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,8.67
7:8 ,5   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,8.67
7:8 ,5   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,8.67
7:8 ,2   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,6.66
7:8 ,2   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,6.66
9:10,2   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,5.18
9:10,2   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,5.18
9:10,2.5 ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,6.86
9:10,2.5 ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,6.86
9:10,3   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,8.36
9:10,3   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,8.36
9:10,3.5 ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,8.36
9:10,3.5 ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,8.36
9:10,3.5 ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,8.36
9:10,4   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,6.86
9:10,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,6.86
9:10,4   ,BOX,4 1/2 IF     ,4 1/2 REG    ,6 3/4  ,172,6.86
9:10,4   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,6.86
9:10,4   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,6.86
9:10,5   ,BOX,4 1/2 REG    ,4 1/2 REG    ,6 3/4  ,172,7.77
9:10,5   ,BOX,4 1/2 XH     ,4 1/2 REG    ,6 3/4  ,172,7.77
5:6 ,8.2 ,BOX,4 1/2 REG    ,4 1/2 REG    ,7      ,178,9.31
5:6 ,8.2 ,BOX,4 1/2 IF     ,4 1/2 REG    ,7      ,178,9.31
5:6 ,8.2 ,BOX,4 IF         ,4 1/2 REG    ,7      ,178,9.31
5:6 ,5.8 ,BOX,4 1/2 REG    ,4 1/2 REG    ,7      ,178,9.31
5:6 ,5.8 ,BOX,4 1/2 IF     ,4 1/2 REG    ,7      ,178,9.31
5:6 ,5.8 ,BOX,4 IF         ,4 1/2 REG    ,7      ,178,9.31
7:8 ,6.6 ,BOX,4 1/2 REG    ,4 1/2 REG    ,7      ,178,9.31
7:8 ,6.6 ,BOX,4 1/2 IF     ,4 1/2 REG    ,7      ,178,9.31
7:8 ,6.6 ,BOX,4 IF         ,4 1/2 REG    ,7      ,178,9.31
7:8 ,4.7 ,BOX,4 1/2 REG    ,4 1/2 REG    ,7      ,178,9.31
7:8 ,4.7 ,BOX,4 1/2 IF     ,4 1/2 REG    ,7      ,178,9.31
7:8 ,4.7 ,BOX,4 IF         ,4 1/2 REG    ,7      ,178,9.31
5:6 ,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8      ,203,7.01
5:6 ,5   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8      ,203,7.91
5:6 ,6   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8      ,203,8.75
9:10,3   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8      ,203,8.75
9:10,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8      ,203,7.07
5:6 ,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/2  ,216,6.65
5:6 ,5   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/2  ,216,7.49
5:6 ,6   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8 1/2  ,216,8.33
3:4 ,6   ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,8.99
4:5 ,3.6 ,BOX,6 5/8 REG    ,6 5/8 REG    ,7 3/4  ,197,6.64
4:5 ,3.6 ,BOX,6 5/8 REG    ,6 5/8 REG    ,7 3/4  ,197,7.19
4:5 ,3.6 ,BOX,5 1/2 IF     ,6 5/8 REG    ,7 3/4  ,197,7.19
4:5 ,3.6 ,BOX,6 5/8 REG    ,6 5/8 REG    ,8      ,203,6.64
7:8 ,3   ,BOX,6 5/8 REG    ,6 5/8 REG    ,7 3/4  ,197,7.19
7:8 ,3   ,BOX,5 1/2 IF     ,6 5/8 REG    ,7 3/4  ,197,7.19
7:8 ,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,7 3/4  ,197,6.64
7:8 ,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8      ,203,6.64
7:8 ,5   ,BOX,6 5/8 REG    ,6 5/8 REG    ,7 3/4  ,197,8.81
7:8 ,5   ,BOX,6 5/8 REG    ,6 5/8 REG    ,8      ,203,8.81
3:4 ,6   ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,8.99
3:4 ,6   ,BOX,8 5/8 REG    ,8 5/8 REG    ,9 5/8  ,244,9.7
5:6 ,4   ,BOX,6 5/8 REG    ,6 5/8 REG    ,9 5/8  ,244,7.32
5:6 ,4   ,BOX,7 5/8 REG    ,7 5/8 REG    ,9 5/8  ,244,7.32
