ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC46     ,4 1/2 REG,8 3/4 ,2 4/5,5.91
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC50     ,4 1/2 REG,8 3/8 ,2 1/4,5.91
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC50     ,4 1/2 REG,8 1/2 ,2 4/5,5.91
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC50     ,4 1/2 REG,8 3/4 ,2 4/5,5.91
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC50     ,6 5/8 REG,9 1/2 ,2 4/5,5.91
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC50     ,6 5/8 REG,9 5/8 ,2 4/5,5.91
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC50     ,6 5/8 REG,9 7/8 ,2 4/5,5.91
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC56     ,6 5/8 REG,12 1/4,3    ,6.56
ROTATIVO RECTO LARGO  ,NEAR BIT    ,6 5/8 REG,6 5/8 REG,12 1/4,3    ,6.56
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC61     ,NC61     ,17 1/2,3    ,7.22
ROTATIVO RECTO LARGO  ,NEAR BIT    ,7 5/8 REG,7 5/8 REG,17 1/2,3    ,7.22
ROTATIVO RECTO LARGO  ,NEAR BIT    ,NC61     ,7 5/8 REG,17 1/2,3    ,7.22
ROTATIVO RECTO LARGO  ,NEAR BIT    ,7 5/8 REG,NC61     ,17 1/2,3    ,7.22
